Date.sampled,Date.measured,Plot,Individual,replicate,organ,length,width,number,FM,image,DM,Comment
14.08.2020,15.08.2020,Om_02,1,b,leaf,NA,NA,1,367.98,61,98.12,
14.08.2020,15.08.2020,Om_02,1,c,leaf,NA,NA,1,249.44,62,72.59,
14.08.2020,15.08.2020,Om_02,1,d,stem,9.3,1.81,1,18.35,NA,6.85,
14.08.2020,15.08.2020,Om_02,1,e,stem,12.69,1.89,1,21.56,NA,7.63,
19.08.2020,20.08.2020,Om_06,1,a,leaf,NA,NA,1,231.09,72,62.18,
19.08.2020,20.08.2020,Om_06,1,b,leaf,NA,NA,1,246.6,73,74.05,
19.08.2020,20.08.2020,Om_06,1,c,leaf,NA,NA,1,260.73,74,73.31,
19.08.2020,20.08.2020,Om_06,1,d,stem,28.28,1.96,1,58.04,NA,19.27,
19.08.2020,20.08.2020,Om_06,1,e,stem,15.61,1.56,1,22.1,NA,7.6,
19.08.2020,20.08.2020,Om_06,3,a,leaf,NA,NA,1,284.83,75,80.56,"leaves a bit damaged, with white spots"
19.08.2020,20.08.2020,Om_06,3,b,leaf,NA,NA,1,262.28,76,69.28,
19.08.2020,20.08.2020,Om_06,3,c,leaf,NA,NA,1,224.57,77,60.53,
19.08.2020,20.08.2020,Om_06,3,d,stem,24.12,2.03,1,62.89,NA,23.14,
19.08.2020,20.08.2020,Om_06,3,e,stem,28.53,2.33,1,80.46,NA,33.35,
19.08.2020,20.08.2020,Om_06,5,a,leaf,NA,NA,1,313.49,78,93.9,
19.08.2020,20.08.2020,Om_06,5,b,leaf,NA,NA,1,340.52,79,95.9,
19.08.2020,20.08.2020,Om_06,5,c,leaf,NA,NA,1,436.63,80,117.16,
19.08.2020,20.08.2020,Om_06,5,d,stem,15.4,1.06,1,11.62,NA,4.49,
19.08.2020,20.08.2020,Om_06,5,e,stem,11.75,1.33,1,13.37,NA,4.96,
17.08.2020,18.08.2020,Nh_10,1,a,leaf,NA,NA,1,300.46,63,113.47,
17.08.2020,18.08.2020,Nh_10,1,b,leaf,NA,NA,1,224.21,64,78.47,
17.08.2020,18.08.2020,Nh_10,1,c,leaf,NA,NA,1,337.08,65,117.6,
17.08.2020,18.08.2020,Nh_10,1,d,stem,6.33,1.59,1,10.15,NA,4.39,
17.08.2020,18.08.2020,Nh_10,1,e,stem,14.74,1.63,1,26.46,NA,10.11,
17.08.2020,18.08.2020,Nh_10,2,a,leaf,NA,NA,1,249.52,66,70.29,
17.08.2020,18.08.2020,Nh_10,2,b,leaf,NA,NA,1,259.52,67,71.97,
17.08.2020,18.08.2020,Nh_10,2,c,leaf,NA,NA,1,194.22,68,55.64,
17.08.2020,18.08.2020,Nh_10,2,d,stem,14.13,1.28,1,19.74,NA,4.04,
17.08.2020,18.08.2020,Nh_10,2,e,stem,9.37,1.14,1,12.12,NA,6.91,
17.08.2020,18.08.2020,Nh_10,3,a,leaf,NA,NA,1,601.37,69,172.88,
17.08.2020,18.08.2020,Nh_10,3,b,leaf,NA,NA,1,366.23,70,104.99,
17.08.2020,18.08.2020,Nh_10,3,c,leaf,NA,NA,1,470.03,71,124.35,
17.08.2020,18.08.2020,Nh_10,3,d,stem,24.75,3.06,1,115.35,NA,40.13,
17.08.2020,18.08.2020,Nh_10,3,e,stem,29.61,2.57,1,120.82,NA,43.02,
12.08.2020,13.08.2020,Nl_55,1,a,leaf,NA,NA,1,135.1,10,37.21,
