Slice	Count	Total Area	Average Size	%Area
leafscan 228.jpeg	3	33.791	11.264	5.418
leafscan379.jpg	28	55.943	1.998	8.722
leafscan 101.jpeg	31	49.135	1.585	7.879
leafscan 290.jpeg	6	54.100	9.017	8.675
leafscan 156.jpeg	22	33.605	1.527	5.388
leafscan 49.jpeg	33	129.535	3.925	20.771
leafscan 157.jpeg	13	13.703	1.054	2.197
leafscan 48.jpeg	49	58.028	1.184	9.305
leafscan 291.jpeg	18	58.758	3.264	9.422
leafscan369.jpg	20	95.838	4.792	14.941
leafscan 100.jpeg	23	43.737	1.902	7.013
leafscan382.jpg	12	61.384	5.115	9.570
leafscan 229.jpeg	3	43.383	14.461	6.956
leafscan396.jpg	28	65.897	2.353	10.273
leafscan 116.jpeg	15	11.667	0.778	1.871
leafscan 141.jpeg	21	19.908	0.948	3.192
leafscan 287.jpeg	39	65.057	1.668	10.432
leafscan.jpeg	40	415.832	10.396	66.678
leafscan 268.jpeg	18	66.018	3.668	10.586
leafscan 25.jpeg	25	48.374	1.935	7.757
leafscan 213.jpeg	3	58.284	19.428	9.346
leafscan 356.jpeg	16	82.259	5.141	13.190
leafscan 182.jpeg	6	11.896	1.983	1.907
leafscan 72.jpeg	47	47.833	1.018	7.670
leafscan 244.jpeg	11	38.763	3.524	6.216
leafscan 301.jpeg	8	38.360	4.795	6.151
leafscan397.jpg	22	26.557	1.207	4.140
leafscan 194.jpeg	11	12.813	1.165	2.055
leafscan383.jpg	13	49.323	3.794	7.689
leafscan 64.jpeg	46	68.914	1.498	11.050
leafscan 252.jpeg	15	54.321	3.621	8.710
leafscan 317.jpeg	4	61.217	15.304	9.816
leafscan368.jpg	1	4.613	4.613	0.719
leafscan 33.jpeg	28	93.560	3.341	15.002
leafscan 205.jpeg	4	14.084	3.521	2.258
leafscan 340.jpeg	14	19.071	1.362	3.058
leafscan 337.jpeg	10	91.128	9.113	14.612
leafscan 272.jpeg	5	41.175	8.235	6.602
leafscan 44.jpeg	28	50.698	1.811	8.129
leafscan 360.jpeg	14	73.103	5.222	11.722
leafscan 225.jpeg	6	29.558	4.926	4.740
leafscan 13.jpeg	20	46.883	2.344	7.518
leafscan395.jpg	16	47.984	2.999	7.481
leafscan381.jpg	11	77.341	7.031	12.058
leafscan 233.jpeg	3	44.887	14.962	7.198
leafscan 321.jpeg	16	71.683	4.480	11.494
leafscan 264.jpeg	16	38.590	2.412	6.188
leafscan 52.jpeg	49	63.345	1.293	10.157
leafscan 136.jpeg	16	12.690	0.793	2.035
leafscan 29.jpeg	35	69.898	1.997	11.208
leafscan 248.jpeg	11	49.939	4.540	8.008
leafscan 91.jpeg	31	82.720	2.668	13.264
leafscan 161.jpeg	16	18.532	1.158	2.972
leafscan380.jpg	12	61.366	5.114	9.567
leafscan394.jpg	8	35.925	4.491	5.601
leafscan 87.jpeg	45	62.980	1.400	10.099
leafscan 198.jpeg	6	16.829	2.805	2.698
leafscan 177.jpeg	9	17.930	1.992	2.875
leafscan 68.jpeg	69	46.583	0.675	7.470
leafscan 209.jpeg	2	33.241	16.620	5.330
leafscan 120.jpeg	9	13.021	1.447	2.088
leafscan 202.jpeg	12	16.597	1.383	2.661
leafscan 347.jpeg	17	72.083	4.240	11.558
leafscan 34.jpeg	23	31.864	1.385	5.109
leafscan 255.jpeg	5	40.642	8.128	6.517
leafscan 310.jpeg	9	43.785	4.865	7.021
leafscan 193.jpeg	8	11.930	1.491	1.913
leafscan 63.jpeg	108	63.003	0.583	10.102
leafscan 243.jpeg	3	31.083	10.361	4.984
leafscan 306.jpeg	13	53.125	4.087	8.519
leafscan 185.jpeg	15	15.521	1.035	2.489
leafscan 75.jpeg	27	32.670	1.210	5.239
leafscan 214.jpeg	2	42.595	21.297	6.830
leafscan 351.jpeg	13	81.022	6.232	12.992
leafscan 22.jpeg	25	47.633	1.905	7.638
leafscan 280.jpeg	4	48.765	12.191	7.819
leafscan 146.jpeg	16	18.740	1.171	3.005
leafscan 59.jpeg	20	53.485	2.674	8.576
leafscan 238.jpeg	13	36.024	2.771	5.776
leafscan 111.jpeg	6	12.253	2.042	1.965
leafscan 107.jpeg	34	43.938	1.292	7.045
leafscan 18.jpeg	26	40.634	1.563	6.516
leafscan 296.jpeg	4	25.653	6.413	4.113
leafscan 279.jpeg	11	35.829	3.257	5.745
leafscan 150.jpeg	20	19.313	0.966	3.097
leafscan 127.jpeg	13	20.984	1.614	3.365
leafscan 38.jpeg	28	38.107	1.361	6.110
leafscan 80.jpeg	30	52.135	1.738	8.360
leafscan 170.jpeg	17	11.187	0.658	1.794
leafscan 259.jpeg	2	28.199	14.100	4.522
leafscan 96.jpeg	29	48.767	1.682	7.820
leafscan 189.jpeg	11	15.124	1.375	2.425
leafscan 166.jpeg	11	12.159	1.105	1.950
leafscan 7.jpeg	20	38.140	1.907	6.116
leafscan 79.jpeg	21	26.175	1.246	4.197
leafscan 131.jpeg	12	13.494	1.124	2.164
leafscan 218.jpeg	11	42.959	3.905	6.888
leafscan 55.jpeg	33	82.020	2.485	13.152
leafscan 326.jpeg	9	57.752	6.417	9.260
leafscan 263.jpeg	7	41.211	5.887	6.608
leafscan 234.jpeg	12	45.397	3.783	7.279
leafscan 14.jpeg	45	64.440	1.432	10.333
leafscan 222.jpeg	10	44.102	4.410	7.072
leafscan 43.jpeg	34	50.560	1.487	8.107
leafscan 330.jpeg	12	43.201	3.600	6.927
leafscan 275.jpeg	23	65.316	2.840	10.473
leafscan 331.jpeg	14	49.624	3.545	7.957
leafscan 274.jpeg	15	44.596	2.973	7.151
leafscan 42.jpeg	15	55.377	3.692	8.880
leafscan 223.jpeg	6	40.320	6.720	6.465
leafscan 15.jpeg	31	36.564	1.179	5.863
leafscan 235.jpeg	17	59.724	3.513	9.577
leafscan 327.jpeg	10	55.435	5.543	8.889
leafscan 262.jpeg	22	57.873	2.631	9.280
leafscan 54.jpeg	35	44.857	1.282	7.193
leafscan 219.jpeg	5	44.303	8.861	7.104
leafscan 130.jpeg	13	12.247	0.942	1.964
leafscan 97.jpeg	30	41.514	1.384	6.657
leafscan 188.jpeg	12	13.922	1.160	2.232
leafscan 167.jpeg	5	13.698	2.740	2.196
leafscan 6.jpeg	33	52.336	1.586	8.392
leafscan 78.jpeg	68	50.964	0.749	8.172
leafscan 258.jpeg	2	48.966	24.483	7.852
leafscan 81.jpeg	49	51.269	1.046	8.221
leafscan 171.jpeg	13	11.539	0.888	1.850
leafscan 126.jpeg	12	5.487	0.457	0.880
leafscan 39.jpeg	59	41.925	0.711	6.723
leafscan 151.jpeg	18	17.372	0.965	2.786
leafscan 297.jpeg	2	42.243	21.121	6.774
leafscan 278.jpeg	4	33.043	8.261	5.298
leafscan 106.jpeg	60	59.432	0.991	9.530
leafscan 19.jpeg	30	37.616	1.254	6.032
leafscan 110.jpeg	13	16.744	1.288	2.685
leafscan 239.jpeg	5	44.292	8.858	7.102
leafscan 147.jpeg	20	18.018	0.901	2.889
leafscan 58.jpeg	30	54.110	1.804	8.676
leafscan 281.jpeg	7	43.993	6.285	7.054
leafscan 23.jpeg	37	30.090	0.813	4.825
leafscan 215.jpeg	2	34.461	17.230	5.526
leafscan 350.jpeg	24	92.481	3.853	14.829
leafscan 184.jpeg	12	14.997	1.250	2.405
leafscan 74.jpeg	27	35.984	1.333	5.770
leafscan 242.jpeg	8	53.947	6.743	8.650
leafscan 307.jpeg	4	40.965	10.241	6.569
leafscan 192.jpeg	17	22.376	1.316	3.588
leafscan 62.jpeg	53	75.541	1.425	12.113
leafscan 254.jpeg	11	36.766	3.342	5.895
leafscan 311.jpeg	6	54.030	9.005	8.664
leafscan 35.jpeg	24	33.771	1.407	5.415
leafscan 203.jpeg	18	17.314	0.962	2.776
leafscan 346.jpeg	25	49.073	1.963	7.869
