name,#rhinaria,
Oh_01_2_D_left antenna.jpg,5,
Oh_01_2.2_B_left antenna.jpg,7,
Oh_01_2.2_E_left antenna.jpg,21,
Oh_01_3_A_left antenna.jpg,20,
Oh_01_3_B_left antenna.jpg,14,
Oh_01_3_C_left antenna.jpg,9,
Oh_01_3_E_left antenna.jpg,11,
Oh_01_3.2_A_left antenna.jpg,17,
Oh_01_3.2_D_left antenna.jpg,16,
Oh_01_4_A_left antenna.jpg,19,
Oh_01_4_B_left antenna.jpg,19,
Oh_01_4_C_left antenna.jpg,13,
Oh_01_4_D_left antenna.jpg,14,
Oh_01_4_E_left antenna.jpg,12,
Oh_02_1_A_left antenna.jpg,20,
Oh_02_1_B_left antenna.jpg,20,
Oh_02_1_C_left antenna.jpg,22,
Oh_02_1_D_left antenna.jpg,19,
Oh_02_1_E_left antenna.jpg,11,
Oh_02_2_A_left antenna.jpg,13,
Oh_02_2_B_left antenna.jpg,18,
Oh_02_2_C_left antenna.jpg,15,
Oh_02_2_D_left antenna.jpg,25,
Oh_02_2_E_left antenna.jpg,13,
Oh_02_3_A_left antenna.jpg,23,
Oh_02_3_B_left antenna.jpg,21,
Oh_02_3_C_left antenna.jpg,22,
Oh_02_3_D_left antenna.jpg,7,
Oh_02_3_E_left antenna.jpg,0,
Oh_02_4_A_left antenna.jpg,13,
Oh_02_4_B_left antenna.jpg,11,
Oh_02_4_C_left antenna.jpg,14,
Oh_02_4_D_left antenna.jpg,15,
Oh_02_4_E_left antenna.jpg,15,
Oh_02_5_A_left antenna.jpg,8,in two parts
Oh_02_5_B_left antenna.jpg,13,
Oh_02_5_C_left antenna.jpg,9,
Oh_02_5_D_left antenna.jpg,9,
Oh_02_5_E_left antenna.jpg,10,
Ol_55_1_A_left antenna.jpg,17,
Ol_55_1_B_left antenna.jpg,19,
Ol_55_1_C_left antenna.jpg,14,
Ol_55_1_D_left antenna.jpg,17,
Ol_55_3_A_left antenna.jpg,16,
Ol_55_3_B_left antenna.jpg,12,
Ol_55_3_C_left antenna.jpg,9,
Ol_55_3_D_left antenna.jpg,10,
Ol_55_3_E_left antenna.jpg,17,
Ol_55_5_A_left antenna.jpg,17,
Ol_55_5_B_left antenna.jpg,15,
Ol_55_5_C_left antenna.jpg,17,
Ol_55_5_D_left antenna.jpg,20,
Ol_55_5_E_left antenna.jpg,13,
Om_02_1_A_left antenna.jpg,33,
Om_02_1_B_left antenna.jpg,22,
Om_02_1_C_left antenna.jpg,17,
Om_02_1_D_left antenna.jpg,31,
Om_02_1_E_left antenna.jpg,25,
Om_02_1.2_B_left antenna.jpg,17,
Om_06_1_A_left antenna.jpg,13,
Om_06_1_B_left antenna.jpg,15,
Om_06_1_C_left antenna.jpg,8,
Om_06_1_D_left antenna.jpg,5,
Om_06_1_E_left antenna.jpg,14,
Om_06_3_A_left antenna.jpg,17,
Om_06_3_B_left antenna.jpg,22,
Om_06_3_C_left antenna.jpg,23,
Om_06_3_D_left antenna.jpg,28,
Om_06_3_E_left antenna.jpg,20,
Om_06_5_A_left antenna.jpg,12,
Om_06_5_B_left antenna.jpg,11,
Om_06_5_C_left antenna.jpg,13,
Om_06_5_D_left antenna.jpg,3,
Om_06_5_E_left antenna.jpg,10,
Sk_1_A_left antenna.jpg,26,
Sk_1_B_left antenna.jpg,8,
Sk_1_C_left antenna.jpg,15,
Sk_1_D_left antenna.jpg,16,
Sk_1_E_left antenna.jpg,13,
Sk_2_A_left antenna.jpg,16,
Sk_2_B_left antenna.jpg,12,
Sk_2_C_left antenna.jpg,13,
Sk_2_D_left antenna.jpg,15,
Sk_2_E_left antenna.jpg,12,
Sk_3_A_left antenna.jpg,0,
Sk_3_B_left antenna.jpg,17,
Sk_3_C_left antenna.jpg,20,
Sk_3_D_left antenna.jpg,14,
Sk_3_E_left antenna.jpg,13,
